title,artist,date,word,language
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,벌써,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,봄이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,왔네,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,꿈같은,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,바람이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,불어,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,곳곳에,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,여느,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,때완,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,다른,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,듯한,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,기분이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,반가워,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,내일은,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,좀,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,다른,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,날이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,되려나,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,어둠의,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,그림자,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,깊은,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,밤에,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,남겨진,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,달이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,달이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,밝아와,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,빛을,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,그리고,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,있어,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,내,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,몸에서,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,널,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,뺀,en
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,만큼,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,욕조에,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,물이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,미련이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,되어,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,넘쳐흘러,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,한숨이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,가득,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,그,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,공간을,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,채워,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,새벽이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,찾아오면,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,혼자,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,남겨질,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,때면,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,starry,en
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,night,en
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,별이,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,빛나는,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,밤,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,니가,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,휘휘휘,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,불어와,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,너와,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,나,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,나눈,ko
Starry Night (별이 빛나는 밤) ,MAMAMOO,2018-03-08,수많은,ko
